"filename", "language", "Python", "YAML", "JSON", "toml", "Markdown", "reStructuredText", "Batch", "JavaScript", "PostCSS", "Makefile", "pip requirements", "comment", "blank", "total"
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/docs/source/tutorials/3_karate_club.ipynb", "JSON", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/docs/source/tutorials/4_network_reconstruction.ipynb", "JSON", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 416
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/#_digit_recognition.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/#_efficiency.ipynb", "JSON", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 185
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/#_mean_shortest_path.ipynb", "JSON", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 169
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/#_resistance_distance.ipynb", "JSON", 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 273
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/1_algebraic_connectivity.ipynb", "JSON", 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 396
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/2_kuramoto.ipynb", "JSON", 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/3_karate_club.ipynb", "JSON", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/4_network_reconstruction.ipynb", "JSON", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 416
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/examples/5_quantum_internet.ipynb", "JSON", 0, 0, 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 524
"/Users/guga/D/University/UWyo/Network_Optimization/gradnet/pyproject.toml", "toml", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
